date,sala,abc,id
2017-01-08,313,A+,320
2017-01-08,277,A+,258
2017-01-15,350,B,217
2017-01-15,2837,A,445
2017-01-15,1857,B,411
2017-01-15,1736,A,250
2017-01-15,1255,B,273
2017-01-15,368,A+,254
2017-01-15,0,B,438
2017-01-15,1528,B,271
2017-01-15,720,B,181
2017-01-15,2687,A,180
2017-01-15,154,A+,225
2017-01-15,3759,A,222
2017-01-15,6745,A,487
2017-01-15,80,A+,409
2017-01-15,426,A+,249
2017-01-15,201,A+,314
2017-01-15,493,A+,320
2017-01-15,866,A+,258
2017-01-22,665,B,217
2017-01-22,1149,A,445
2017-01-22,1387,B,411
2017-01-22,1440,A,250
2017-01-22,1258,B,273
2017-01-22,358,A+,254
2017-01-22,4,B,438
2017-01-22,1507,B,271
2017-01-22,927,B,181
2017-01-22,3292,A,180
2017-01-22,127,A+,225
2017-01-22,2718,A,222
2017-01-22,7683,A,487
2017-01-22,302,A+,409
2017-01-22,475,A+,249
2017-01-22,125,A+,314
2017-01-22,369,A+,320
2017-01-22,2897,A+,258
2017-01-29,990,B,217
2017-01-29,3113,A,445
2017-01-29,1382,B,411
2017-01-29,643,A,250
2017-01-29,45,B,273
2017-01-29,415,A+,254
2017-01-29,4,B,438
2017-01-29,1929,B,271
2017-01-29,630,B,181
2017-01-29,3825,A,180
2017-01-29,193,A+,225
2017-01-29,2852,A,222
2017-01-29,6629,A,487
2017-01-29,156,A+,409
2017-01-29,521,A+,249
2017-01-29,141,A+,314
2017-01-29,528,A+,320
2017-01-29,706,A+,258
2017-02-05,875,B,217
2017-02-05,1309,A,445
2017-02-05,951,B,411
2017-02-05,3129,A,250
2017-02-05,492,B,273
2017-02-05,377,A+,254
2017-02-05,3,B,438
2017-02-05,1631,B,271
2017-02-05,561,B,181
2017-02-05,4504,A,180
2017-02-05,155,A+,225
2017-02-05,3951,A,222
2017-02-05,7988,A,487
2017-02-05,884,A+,409
2017-02-05,546,A+,249
2017-02-05,123,A+,314
2017-02-05,457,A+,320
2017-02-05,1125,A+,258
2017-02-12,1618,B,217
2017-02-12,3446,A,445
2017-02-12,1703,B,411
2017-02-12,1421,A,250
2017-02-12,968,B,273
2017-02-12,404,A+,254
2017-02-12,0,B,438
2017-02-12,2297,B,271
2017-02-12,514,B,181
2017-02-12,4640,A,180
2017-02-12,227,A+,225
2017-02-12,3626,A,222
2017-02-12,9610,A,487
2017-02-12,119,A+,409
2017-02-12,887,A+,249
2017-02-12,144,A+,314
2017-02-12,405,A+,320
2017-02-12,1772,A+,258
2017-02-19,267,B,217
2017-02-19,1784,A,445
2017-02-19,778,B,411
2017-02-19,1601,A,250
2017-02-19,937,B,273
2017-02-19,407,A+,254
2017-02-19,1,B,438
2017-02-19,2176,B,271
